Freq(Hz), SPL(dB)
231.145477, 103.763
231.481934, 103.754
231.818390, 103.741
232.154846, 103.724
232.491302, 103.704
232.827759, 103.683
233.164215, 103.666
233.500671, 103.652
233.837128, 103.640
234.173584, 103.627
234.510040, 103.611
234.846497, 103.589
235.182953, 103.562
235.519409, 103.534
235.855865, 103.506
236.192322, 103.479
236.528778, 103.454
236.865234, 103.429
237.201691, 103.402
237.538147, 103.375
237.874603, 103.347
238.211060, 103.322
238.547516, 103.298
238.883972, 103.275
239.220428, 103.252
239.556885, 103.229
239.893341, 103.206
240.229797, 103.184
240.566254, 103.165
240.902710, 103.149
241.239166, 103.135
241.575623, 103.123
241.912079, 103.112
242.248535, 103.104
242.584991, 103.099
242.921448, 103.098
243.257904, 103.101
243.594360, 103.109
243.930817, 103.119
244.267273, 103.132
244.603729, 103.145
244.940186, 103.160
245.276642, 103.178
245.613098, 103.198
245.949554, 103.224
246.286011, 103.253
246.622467, 103.286
246.958923, 103.320
247.295380, 103.353
247.631836, 103.385
247.968292, 103.413
248.304749, 103.440
248.641205, 103.466
248.977661, 103.492
249.314117, 103.519
249.650574, 103.546
249.987030, 103.573
250.323486, 103.599
250.659943, 103.623
250.996399, 103.646
251.332855, 103.667
251.669312, 103.685
252.005768, 103.702
252.342224, 103.717
252.678680, 103.731
253.015137, 103.743
253.351593, 103.756
253.688049, 103.767
254.024506, 103.779
254.360962, 103.789
254.697418, 103.799
255.033875, 103.809
255.370331, 103.818
255.706787, 103.827
256.043243, 103.834
256.379700, 103.839
256.716156, 103.842
257.052612, 103.844
257.389069, 103.845
257.725525, 103.847
258.061981, 103.851
258.398438, 103.856
258.734894, 103.860
259.071350, 103.861
259.407806, 103.859
259.744263, 103.854
260.080719, 103.849
260.417175, 103.845
260.753632, 103.844
261.090088, 103.845
261.426544, 103.847
261.763000, 103.848
262.099457, 103.847
262.435913, 103.843
262.772369, 103.839
263.108826, 103.835
263.445282, 103.831
263.781738, 103.828
264.118195, 103.823
264.454651, 103.818
264.791107, 103.811
265.127563, 103.805
265.464020, 103.799
265.800476, 103.794
266.136932, 103.790
266.473389, 103.786
266.809845, 103.781
267.146301, 103.777
267.482758, 103.773
267.819214, 103.770
268.155670, 103.768
268.492126, 103.767
268.828583, 103.764
269.165039, 103.760
269.501495, 103.753
