Freq(Hz), SPL(dB)
175.293732, 101.776
175.630188, 101.844
175.966644, 101.908
176.303101, 101.969
176.639557, 102.027
176.976013, 102.085
177.312469, 102.141
177.648926, 102.195
177.985382, 102.244
178.321838, 102.290
178.658295, 102.336
178.994751, 102.383
179.331207, 102.434
179.667664, 102.487
180.004120, 102.536
180.340576, 102.577
180.677032, 102.607
181.013489, 102.628
181.349945, 102.646
181.686401, 102.668
182.022858, 102.697
182.359314, 102.731
182.695770, 102.763
183.032227, 102.791
183.368683, 102.814
183.705139, 102.836
184.041595, 102.862
184.378052, 102.893
184.714508, 102.924
185.050964, 102.949
185.387421, 102.966
185.723877, 102.975
186.060333, 102.986
186.396790, 103.002
186.733246, 103.025
187.069702, 103.048
187.406158, 103.063
187.742615, 103.069
188.079071, 103.073
188.415527, 103.088
188.751984, 103.122
189.088440, 103.171
189.424896, 103.220
189.761353, 103.254
190.097809, 103.268
190.434265, 103.272
190.770721, 103.287
191.107178, 103.329
191.443634, 103.399
191.780090, 103.477
192.116547, 103.534
192.453003, 103.550
192.789459, 103.524
193.125916, 103.476
193.462372, 103.437
193.798828, 103.426
194.135284, 103.446
194.471741, 103.480
194.808197, 103.510
195.144653, 103.523
195.481110, 103.522
195.817566, 103.520
196.154022, 103.528
196.490479, 103.550
196.826935, 103.579
197.163391, 103.602
197.499847, 103.614
197.836304, 103.616
198.172760, 103.613
198.509216, 103.614
198.845673, 103.623
199.182129, 103.638
199.518585, 103.652
199.855042, 103.662
200.191498, 103.666
200.527954, 103.667
200.864410, 103.668
201.200867, 103.673
201.537323, 103.679
201.873779, 103.686
202.210236, 103.691
202.546692, 103.694
202.883148, 103.696
203.219604, 103.696
203.556061, 103.697
203.892517, 103.699
204.228973, 103.698
204.565430, 103.696
204.901886, 103.691
205.238342, 103.685
205.574799, 103.677
205.911255, 103.670
206.247711, 103.663
206.584167, 103.653
206.920624, 103.640
207.257080, 103.623
207.593536, 103.603
207.929993, 103.584
208.266449, 103.567
208.602905, 103.548
208.939362, 103.523
209.275818, 103.484
209.612274, 103.430
209.948730, 103.367
210.285187, 103.307
210.621643, 103.272
210.958099, 103.278
211.294556, 103.330
211.631012, 103.417
211.967468, 103.521
212.303925, 103.619
212.640381, 103.700
212.976837, 103.758
213.313293, 103.799
213.649750, 103.832
213.986206, 103.862
214.322662, 103.893
214.659119, 103.924
214.995575, 103.951
215.332031, 103.976
215.668488, 103.997
216.004944, 104.019
216.341400, 104.043
216.677856, 104.068
217.014313, 104.094
217.350769, 104.118
217.687225, 104.138
218.023682, 104.155
218.360138, 104.169
218.696594, 104.182
219.033051, 104.196
219.369507, 104.211
219.705963, 104.226
220.042419, 104.241
220.378876, 104.254
220.715332, 104.266
221.051788, 104.275
221.388245, 104.283
221.724701, 104.290
222.061157, 104.297
222.397614, 104.305
222.734070, 104.312
223.070526, 104.318
223.406982, 104.324
223.743439, 104.330
224.079895, 104.336
224.416351, 104.343
224.752808, 104.351
225.089264, 104.359
225.425720, 104.365
225.762177, 104.369
226.098633, 104.372
226.435089, 104.373
226.771545, 104.376
227.108002, 104.380
227.444458, 104.386
227.780914, 104.392
228.117371, 104.397
228.453827, 104.401
228.790283, 104.404
229.126740, 104.408
229.463196, 104.411
229.799652, 104.415
230.136108, 104.419
230.472565, 104.421
230.809021, 104.422
231.145477, 104.420
231.481934, 104.419
231.818390, 104.418
232.154846, 104.418
232.491302, 104.419
232.827759, 104.421
233.164215, 104.422
233.500671, 104.422
233.837128, 104.420
234.173584, 104.416
234.510040, 104.412
234.846497, 104.409
235.182953, 104.408
235.519409, 104.408
235.855865, 104.410
236.192322, 104.414
236.528778, 104.417
236.865234, 104.421
237.201691, 104.424
237.538147, 104.427
237.874603, 104.430
238.211060, 104.432
238.547516, 104.433
238.883972, 104.435
239.220428, 104.436
239.556885, 104.440
239.893341, 104.444
240.229797, 104.450
240.566254, 104.457
240.902710, 104.462
241.239166, 104.465
241.575623, 104.466
241.912079, 104.465
242.248535, 104.463
242.584991, 104.463
242.921448, 104.464
243.257904, 104.466
243.594360, 104.469
243.930817, 104.471
244.267273, 104.472
244.603729, 104.472
244.940186, 104.472
245.276642, 104.471
245.613098, 104.471
245.949554, 104.470
246.286011, 104.469
246.622467, 104.467
246.958923, 104.466
247.295380, 104.466
247.631836, 104.466
247.968292, 104.465
248.304749, 104.463
248.641205, 104.460
248.977661, 104.456
249.314117, 104.451
249.650574, 104.446
249.987030, 104.442
250.323486, 104.436
250.659943, 104.430
250.996399, 104.423
251.332855, 104.415
251.669312, 104.408
252.005768, 104.402
252.342224, 104.396
252.678680, 104.391
253.015137, 104.385
253.351593, 104.379
253.688049, 104.371
254.024506, 104.362
254.360962, 104.351
254.697418, 104.341
255.033875, 104.331
255.370331, 104.323
255.706787, 104.316
256.043243, 104.310
256.379700, 104.306
256.716156, 104.302
257.052612, 104.299
257.389069, 104.295
257.725525, 104.292
258.061981, 104.289
258.398438, 104.286
258.734894, 104.284
259.071350, 104.283
259.407806, 104.284
259.744263, 104.287
260.080719, 104.292
260.417175, 104.297
260.753632, 104.304
261.090088, 104.311
261.426544, 104.318
261.763000, 104.326
262.099457, 104.334
262.435913, 104.342
262.772369, 104.351
263.108826, 104.361
263.445282, 104.371
263.781738, 104.382
264.118195, 104.393
264.454651, 104.405
264.791107, 104.416
265.127563, 104.427
265.464020, 104.438
265.800476, 104.447
266.136932, 104.456
266.473389, 104.464
266.809845, 104.471
267.146301, 104.478
267.482758, 104.484
267.819214, 104.490
268.155670, 104.496
268.492126, 104.502
268.828583, 104.508
269.165039, 104.514
269.501495, 104.519
269.837952, 104.522
270.174408, 104.524
270.510864, 104.525
270.847321, 104.525
271.183777, 104.526
271.520233, 104.526
271.856689, 104.526
272.193146, 104.526
272.529602, 104.525
272.866058, 104.523
273.202515, 104.522
273.538971, 104.520
273.875427, 104.517
274.211884, 104.515
274.548340, 104.512
274.884796, 104.509
275.221252, 104.505
275.557709, 104.501
275.894165, 104.496
276.230621, 104.491
276.567078, 104.486
276.903534, 104.481
277.239990, 104.476
277.576447, 104.472
277.912903, 104.467
278.249359, 104.463
278.585815, 104.458
278.922272, 104.453
279.258728, 104.449
279.595184, 104.446
279.931641, 104.443
280.268097, 104.439
280.604553, 104.435
280.941010, 104.430
281.277466, 104.425
281.613922, 104.423
281.950378, 104.424
282.286835, 104.428
282.623291, 104.434
282.959747, 104.440
283.296204, 104.444
283.632660, 104.447
283.969116, 104.448
284.305573, 104.449
284.642029, 104.452
284.978485, 104.457
285.314941, 104.463
285.651398, 104.470
285.987854, 104.476
286.324310, 104.483
286.660767, 104.489
286.997223, 104.497
287.333679, 104.505
287.670135, 104.513
288.006592, 104.522
288.343048, 104.531
288.679504, 104.539
289.015961, 104.548
289.352417, 104.556
289.688873, 104.564
290.025330, 104.570
290.361786, 104.576
290.698242, 104.582
291.034698, 104.588
291.371155, 104.594
291.707611, 104.602
292.044067, 104.609
292.380524, 104.616
292.716980, 104.621
293.053436, 104.626
293.389893, 104.630
293.726349, 104.635
294.062805, 104.640
294.399261, 104.646
294.735718, 104.652
295.072174, 104.659
295.408630, 104.664
295.745087, 104.670
296.081543, 104.674
296.417999, 104.679
296.754456, 104.684
297.090912, 104.690
297.427368, 104.696
297.763824, 104.701
298.100281, 104.707
298.436737, 104.711
298.773193, 104.716
299.109650, 104.719
299.446106, 104.723
299.782562, 104.727
300.119019, 104.731
300.455475, 104.735
300.791931, 104.738
301.128387, 104.742
301.464844, 104.745
301.801300, 104.749
302.137756, 104.751
302.474213, 104.754
302.810669, 104.755
303.147125, 104.757
303.483582, 104.758
303.820038, 104.759
304.156494, 104.760
304.492950, 104.759
304.829407, 104.755
305.165863, 104.749
305.502319, 104.741
305.838776, 104.734
306.175232, 104.726
306.511688, 104.717
306.848145, 104.704
307.184601, 104.686
307.521057, 104.669
307.857513, 104.660
308.193970, 104.672
308.530426, 104.710
308.866882, 104.771
309.203339, 104.842
309.539795, 104.901
309.876251, 104.931
310.212708, 104.922
310.549164, 104.879
310.885620, 104.822
311.222076, 104.773
311.558533, 104.751
311.894989, 104.764
312.231445, 104.803
312.567902, 104.853
312.904358, 104.895
313.240814, 104.922
313.577271, 104.933
313.913727, 104.933
314.250183, 104.929
314.586639, 104.925
314.923096, 104.923
315.259552, 104.920
315.596008, 104.914
315.932465, 104.905
316.268921, 104.894
316.605377, 104.883
316.941833, 104.870
317.278290, 104.857
317.614746, 104.841
317.951202, 104.823
318.287659, 104.801
318.624115, 104.778
318.960571, 104.754
319.297028, 104.730
319.633484, 104.706
319.969940, 104.683
320.306396, 104.663
320.642853, 104.650
320.979309, 104.645
321.315765, 104.651
321.652222, 104.669
321.988678, 104.697
322.325134, 104.734
322.661591, 104.776
322.998047, 104.822
323.334503, 104.868
323.670959, 104.914
324.007416, 104.956
324.343872, 104.993
324.680328, 105.024
325.016785, 105.048
325.353241, 105.067
325.689697, 105.082
326.026154, 105.093
326.362610, 105.101
326.699066, 105.107
327.035522, 105.113
327.371979, 105.118
327.708435, 105.122
328.044891, 105.125
328.381348, 105.126
328.717804, 105.124
329.054260, 105.121
329.390717, 105.119
329.727173, 105.119
330.063629, 105.122
330.400085, 105.128
330.736542, 105.135
331.072998, 105.140
331.409454, 105.144
331.745911, 105.144
332.082367, 105.140
332.418823, 105.132
332.755280, 105.119
333.091736, 105.099
333.428192, 105.077
333.764648, 105.058
334.101105, 105.048
334.437561, 105.055
334.774017, 105.078
335.110474, 105.111
335.446930, 105.146
335.783386, 105.172
336.119843, 105.186
336.456299, 105.186
336.792755, 105.179
337.129211, 105.170
337.465668, 105.164
337.802124, 105.161
338.138580, 105.160
338.475037, 105.159
338.811493, 105.158
339.147949, 105.155
339.484406, 105.153
339.820862, 105.152
340.157318, 105.152
340.493774, 105.153
340.830231, 105.154
341.166687, 105.156
341.503143, 105.159
341.839600, 105.163
342.176056, 105.167
342.512512, 105.171
342.848969, 105.176
343.185425, 105.180
343.521881, 105.186
343.858337, 105.193
344.194794, 105.199
344.531250, 105.205
344.867706, 105.207
345.204163, 105.207
345.540619, 105.206
345.877075, 105.204
346.213531, 105.203
346.549988, 105.204
346.886444, 105.207
347.222900, 105.211
347.559357, 105.213
347.895813, 105.213
348.232269, 105.212
348.568726, 105.209
348.905182, 105.206
349.241638, 105.203
349.578094, 105.200
349.914551, 105.197
350.251007, 105.194
350.587463, 105.191
350.923920, 105.189
351.260376, 105.186
351.596832, 105.184
351.933289, 105.182
352.269745, 105.180
352.606201, 105.177
352.942657, 105.175
353.279114, 105.172
353.615570, 105.169
353.952026, 105.166
354.288483, 105.163
354.624939, 105.162
354.961395, 105.161
355.297852, 105.161
355.634308, 105.162
355.970764, 105.162
356.307220, 105.162
356.643677, 105.162
356.980133, 105.162
357.316589, 105.163
357.653046, 105.165
357.989502, 105.168
358.325958, 105.171
358.662415, 105.176
358.998871, 105.183
359.335327, 105.189
359.671783, 105.196
360.008240, 105.203
360.344696, 105.208
360.681152, 105.214
361.017609, 105.219
361.354065, 105.225
361.690521, 105.231
362.026978, 105.239
362.363434, 105.246
362.699890, 105.253
363.036346, 105.260
363.372803, 105.266
363.709259, 105.271
364.045715, 105.277
364.382172, 105.283
364.718628, 105.289
365.055084, 105.295
365.391541, 105.301
365.727997, 105.307
366.064453, 105.312
366.400909, 105.317
366.737366, 105.323
367.073822, 105.328
367.410278, 105.333
367.746735, 105.339
368.083191, 105.345
368.419647, 105.351
368.756104, 105.357
369.092560, 105.361
369.429016, 105.365
369.765472, 105.368
370.101929, 105.370
370.438385, 105.373
370.774841, 105.377
371.111298, 105.381
371.447754, 105.385
371.784210, 105.388
372.120667, 105.390
372.457123, 105.391
372.793579, 105.392
373.130035, 105.392
373.466492, 105.393
373.802948, 105.394
374.139404, 105.395
374.475861, 105.396
374.812317, 105.396
375.148773, 105.396
375.485229, 105.395
375.821686, 105.395
376.158142, 105.395
376.494598, 105.395
376.831055, 105.395
377.167511, 105.395
377.503967, 105.394
377.840424, 105.394
378.176880, 105.394
378.513336, 105.393
378.849792, 105.393
379.186249, 105.393
379.522705, 105.392
379.859161, 105.391
380.195618, 105.390
380.532074, 105.389
380.868530, 105.388
381.204987, 105.388
381.541443, 105.387
381.877899, 105.386
382.214355, 105.384
382.550812, 105.383
382.887268, 105.383
383.223724, 105.384
383.560181, 105.385
383.896637, 105.386
384.233093, 105.385
384.569550, 105.384
384.906006, 105.381
385.242462, 105.379
385.578918, 105.377
385.915375, 105.377
386.251831, 105.377
386.588287, 105.377
386.924744, 105.376
387.261200, 105.374
387.597656, 105.372
387.934113, 105.371
388.270569, 105.369
388.607025, 105.368
388.943481, 105.368
389.279938, 105.368
389.616394, 105.367
389.952850, 105.366
390.289307, 105.366
390.625763, 105.364
390.962219, 105.363
391.298676, 105.363
391.635132, 105.362
391.971588, 105.362
392.308044, 105.362
392.644501, 105.362
392.980957, 105.361
393.317413, 105.360
393.653870, 105.358
393.990326, 105.357
394.326782, 105.356
394.663239, 105.355
394.999695, 105.354
395.336151, 105.354
395.672607, 105.353
396.009064, 105.353
396.345520, 105.352
396.681976, 105.351
397.018433, 105.351
397.354889, 105.350
397.691345, 105.350
398.027802, 105.349
398.364258, 105.349
398.700714, 105.349
399.037170, 105.348
399.373627, 105.347
399.710083, 105.347
400.046539, 105.346
400.382996, 105.345
400.719452, 105.345
401.055908, 105.344
401.392365, 105.343
401.728821, 105.342
402.065277, 105.341
402.401733, 105.340
402.738190, 105.340
403.074646, 105.339
403.411102, 105.339
403.747559, 105.338
404.084015, 105.338
404.420471, 105.337
404.756927, 105.337
405.093384, 105.337
405.429840, 105.337
405.766296, 105.336
406.102753, 105.336
406.439209, 105.335
406.775665, 105.335
407.112122, 105.334
407.448578, 105.333
407.785034, 105.333
408.121490, 105.332
408.457947, 105.332
408.794403, 105.332
409.130859, 105.331
409.467316, 105.331
409.803772, 105.331
410.140228, 105.331
410.476685, 105.330
410.813141, 105.330
411.149597, 105.329
411.486053, 105.329
411.822510, 105.329
412.158966, 105.328
412.495422, 105.329
412.831879, 105.329
413.168335, 105.329
413.504791, 105.329
413.841248, 105.329
414.177704, 105.329
414.514160, 105.329
414.850616, 105.328
415.187073, 105.328
415.523529, 105.329
415.859985, 105.329
416.196442, 105.329
416.532898, 105.330
416.869354, 105.330
417.205811, 105.330
417.542267, 105.331
417.878723, 105.331
418.215179, 105.331
418.551636, 105.331
418.888092, 105.331
419.224548, 105.332
419.561005, 105.332
419.897461, 105.333
420.233917, 105.334
420.570374, 105.334
420.906830, 105.335
421.243286, 105.335
421.579742, 105.336
421.916199, 105.336
422.252655, 105.337
422.589111, 105.338
422.925568, 105.340
423.262024, 105.341
423.598480, 105.342
423.934937, 105.344
424.271393, 105.345
424.607849, 105.346
424.944305, 105.347
425.280762, 105.348
425.617218, 105.349
425.953674, 105.351
426.290131, 105.352
426.626587, 105.353
426.963043, 105.354
427.299500, 105.356
427.635956, 105.357
427.972412, 105.359
428.308868, 105.360
428.645325, 105.361
428.981781, 105.363
429.318237, 105.364
429.654694, 105.365
429.991150, 105.366
430.327606, 105.367
430.664062, 105.369
431.000519, 105.371
431.336975, 105.373
431.673431, 105.375
432.009888, 105.376
432.346344, 105.376
432.682800, 105.376
433.019257, 105.377
433.355713, 105.379
433.692169, 105.383
434.028625, 105.387
434.365082, 105.390
434.701538, 105.391
435.037994, 105.391
435.374451, 105.390
435.710907, 105.389
436.047363, 105.390
436.383820, 105.391
436.720276, 105.393
437.056732, 105.394
437.393188, 105.395
